card_edition	card_type	card_id	card_value	card_color	card_name	card_number	card_text	card_quotation
Jacuzzi	bath_toy	174	8	#AAE0FC	Leon Daedet	© 2025 Seventeen Games | Card 174 | E3	"Daedet scrawled with bitter grace,
A loyal scribe to a losing case."	“A lion may die of an ass's kick.” — Robert
Jacuzzi	bath_toy	122	6	#AAE0FC	Marié Washington	© 1984 Loneliest # | Card 122 | F1	"A pseudonym inked by her careful hand,
Marié Picquart made her political stand."	“A writer is a world trapped in a person.” — Victor
Jacuzzi	bath_toy	31	1	#E1897A	Émile Combes	© 2025 Seventeen Games | Card 31 | L3	"Combes moved laws with quiet grace,
To mend the wounds of a broken case."	“Action expresses priorities.” — Mahatma
Jacuzzi	bath_toy	103	5	#CDE6D0	Francis Pressensé	"© 1984 Ernst & Young, abbr. | Card 103"	"Pressensé wrote with righteous fire,
A voice the mob could not retire."	"“After all, hope is a form of planning.” — Gloria"
Jacuzzi	bath_toy	7	-1	#CDE6D0	"Le Bon
Premier Ministre"	© 2025 Seventeen Games | Card 7	"Léon Blum in a defiant defense,
Rallied his statesmen against false pretense."	“All money is a matter of belief.” — Adam
Jacuzzi	bath_toy	91	5	#E1897A	Jean-Baptistè	"© 1984 B&O, e.g. | Card 91 | K1"	"He hailed, they say, from Monstro Island,
A whispering thread in a scandal so violent?"	“All movements go too far.” — Bertrand
Jacuzzi	bath_toy	63	3	#AEA1FF	Louis Lêblois	© 2025 Seventeen Games | Card 63 | C1	"Understanding confidant to Marié,
Lêblois saw through all the lies of the day?"	“America is a willingness of the heart.” — F. Scott
Jacuzzi	action	225	0	#FFFFFF	Drip Drip Drain	© 2025 Seventeen Games | Card 225	"Discard all the cards in the bathtub. The water level is now 0.
Discard after playing."	"“An important step in knowing WHERE you are, is finding someone other than David or Paul.” — Seventeen Games"
Jacuzzi	action	228	0	#FFFFFF	Upsetting Uh Oh!	© 2025 Seventeen Games | Card 228	"Reverse the win condition of the game. For example, if the current win condition contains the word “fewest” or “least,” it’s now “most” or “greatest,” and vice versa.
Discard after playing."	“Another WHAT requires seeing something you excel at. And another requires looking at something lighter than air.” — Seventeen Games
Jacuzzi	bath_toy	170	8	#AAE0FC	Édouard Drumont	© 2025 Seventeen Games | Card 170 | F3	"Drumont's pen spewed hate and spite,
A twisted view of wrong as right."	“Censorship is advertising paid by the government.” — Federico
Jacuzzi	bath_toy	120	6	#1FB25A	W-Rousseau	© 1984 Bottom or Sponge | Card 120 | G1	"Waldeck’s laws began to heal,
The broken trust the courts would steal."	“Cries for help are frequently inaudible.” — Tom
Jacuzzi	bath_toy	154	8	#AEA1FF	Paul Déroulède	© 2025 Seventeen Games | Card 154 | A1	"Déroulède fanned the fervent flame,
A nationalist proud to fake the blame."	“Death is an absolute marvel.” — William
Jacuzzi	action	229	0	#FFFFFF	"Love
Your Neighbor"	© 2025 Seventeen Games | Card 229	"Change seats with a player of your choice. You move into their position, and they move into yours. You get each others’ cards, overflow, turn position, seat, view, et cetera.
Discard after playing."	“Don’t start at the start / It is really the ending / That’s so important.” — Seventeen Games
Jacuzzi	bath_toy	15	0	#CDE6D0	Joseph Reinach	© 2025 Seventeen Games | Card 15	"Reinach stood firm with facts in hand,
Unmasking lies that plagued the land."	“Every dogma has its day.” — Anthony
Jacuzzi	bath_toy	23	0	#CDE6D0	"Arman de
Caillavet"	© 2025 Seventeen Games | Card 23	"Caillavet penned with fierce belief,
Plays to shield against all the grief."	“Every word is a prejudice.” — Friedrich
Jacuzzi	bath_toy	55	3	#AAE0FC	L'Aurore	© 2025 Seventeen Games | Card 55 | E1	"L’Aurore shone with Zola’s flame,
And lit a path to clear Dreyfus’ name."	“Everybody is a teenage idol.” — Barry
Jacuzzi	action	210	0	#FFFFFF	Jean-Bien’s Surprise	© 2025 Seventeen Games | Card 210	"If you’re not holding a Parent, you must play this card. Scan QR code to determine effect.
If this card can't be scanned, add it to your Overflow Pile."	"“Excuse me, I must go and putt.” — P.G."
Jacuzzi	bath_toy	43	2	#F7941D	Lucie Dreyfus	© 2025 Seventeen Games | Card 43	"Lucie’s hope would not be swayed,
Her love endured where lies were laid."	“Fear is intense self-awareness.” — Don
Jacuzzi	bath_toy	142	8	#AEA1FF	Camille Krantz	© 2025 Seventeen Games | Card 142 | B2	"Krantz obeyed where orders led,
But turned aside from where truth bled."	"“For thy sake, tobacco, I would do anything but die.” — Charles"
Jacuzzi	bath_toy	51	2	#1FB25A	Henrì Brisson	© 2025 Seventeen Games | Card 51	"As sixth elected supporter, calm and wise,
Brisson cut through the nation’s lies?"	“Habit is a great deadener.” — Samuel
Jacuzzi	bath_toy	99	5	#FFEDC7	Frédéric Passy	© 1984 USS in Mirror Universe | Card 99 | B3	"Passy preached with peaceful breath,
And fought for truth in war and death."	“Hate is a lack of imagination.” — Graham
Jacuzzi	bath_toy	21	0	#AEA1FF	Anatòle France	© 2025 Seventeen Games | Card 21 | C2	"France saw the ethnic inquest as shame;
Did he turn his pen on the source of the blame?"	“Hope is a very unruly emotion.” — Gloria
Jacuzzi	bath_toy	107	5	#AEA1FF	Paul Valéry	© 1984 First Natural # | Card 107 | C3	"Valéry penned with artful tone;
He would not let Dreyfus stand alone."	“I believe in the incomprehensibility of God.” — Honoré de
Jacuzzi	action	214	0	#FFFFFF	Éclat de Surprise	© 2025 Seventeen Games | Card 214	"If you’re not holding a Parent, you must play this card. Scan QR code to determine effect.
If this card can't be scanned, add it to your Overflow Pile."	“I feel alone and safe in public.” — Gene
Jacuzzi	bath_toy	78	4	#FFEDC7	Louis Dega	© 1984 Dario Luigi Angelo’s End | Card 78 | F2	"On Devil’s rock, he found a friend,
A bond that prison could not end."	“I will learn by screwing up.” — Greg
Jacuzzi	bath_toy	158	8	#FFEDC7	Maurice Barrès	© 2025 Seventeen Games | Card 158 | B1	"Barrès wrote with cold disdain,
To bind the lie and spread the pain."	“If you rest you rust.” — Helen
Jacuzzi	bath_toy	146	8	#E1897A	Lucidité Lépine	© 2025 Seventeen Games | Card 146 | L2	"As Prefect of Police, Lépine held sway,
And moved events the legal way."	“Imagination rules the world.” — Napoleon
Jacuzzi	bath_toy	11	-1	#DA3996	Émile Zola	© 2025 Seventeen Games | Card 11	"Zola cried “J’accuse!” in a thunderous tone,
His pen struck harder than any stone."	“Kebenaran tidak perlu di iklankan.” — Fidel
Jacuzzi	bath_toy	111	6	#AAE0FC	Arthúr Ranc	© 1984 The Saint’s Inits | Card 111 | D3	"Squat, recondite, and rock-hard,
Ranc struck with prose, a Dreyfusard?"	"“Knowing others is wisdom, knowing yourself is enlightenment.” — Lao"
Jacuzzi	bath_toy	27	1	#FFEDC7	Jean-Bete Jaurès	© 2025 Seventeen Games | Card 27 | I3	"Jaurès gave voice to liberty,
Printing truth in L’Humanité."	“Language is fossil Poetry.” — Ralph Waldo
